"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_uppercase[hello-HELLO]","","Mon May 19 02:51:22 EEST 2025","passed","Mon May 19 02:51:22 EEST 2025","","test_30","",""
"","0","test_operations","","Mon May 19 02:51:22 EEST 2025","passed","Mon May 19 02:51:22 EEST 2025","","test_calc_app","",""
"","0","test_sum[input_data2-60]","","Mon May 19 02:51:22 EEST 2025","passed","Mon May 19 02:51:22 EEST 2025","","test_30","",""
"","1","test_delete","","Mon May 19 02:51:22 EEST 2025","passed","Mon May 19 02:51:22 EEST 2025","","test_calc_app","",""
"","0","test_sum[input_data1-0]","","Mon May 19 02:51:22 EEST 2025","passed","Mon May 19 02:51:22 EEST 2025","","test_30","",""
"","2","test_insert","","Mon May 19 02:51:22 EEST 2025","passed","Mon May 19 02:51:22 EEST 2025","","test_calc_app","",""
"","0","test_sum[input_data0-6]","","Mon May 19 02:51:22 EEST 2025","passed","Mon May 19 02:51:22 EEST 2025","","test_30","",""
"","0","test_uppercase[world-WORLD]","","Mon May 19 02:51:22 EEST 2025","passed","Mon May 19 02:51:22 EEST 2025","","test_30","",""
"","0","test_update","","Mon May 19 02:51:22 EEST 2025","passed","Mon May 19 02:51:22 EEST 2025","","test_calc_app","",""
"","0","test_db_connection","","Mon May 19 02:51:22 EEST 2025","passed","Mon May 19 02:51:22 EEST 2025","","test_calc_app","",""
